epoch,train_loss,train_accuracy,test_accuracy
1,0.4572011770248416,0.27208,0.276
2,0.3836793669223785,0.35848,0.3717
3,0.35903100886344896,0.40798,0.4192
4,0.3376447063922882,0.44874,0.4584
5,0.318911487531662,0.49462,0.4951
6,0.2996420865535737,0.55434,0.5408
7,0.279044265460968,0.59574,0.5839
8,0.2566875494241713,0.6429,0.6276
9,0.23723046712875365,0.68324,0.6572
10,0.21797491960525509,0.712,0.6761
11,0.2004203800201417,0.74666,0.7007
12,0.18137867186069495,0.77646,0.7268
13,0.1648800453066826,0.80898,0.7404
14,0.15007825214862822,0.8336,0.7503
15,0.13516032254695895,0.8583,0.7623
16,0.1233933327198029,0.88726,0.7708
17,0.1104662099957466,0.88742,0.7647
18,0.09524872049689292,0.9114,0.7722
19,0.08365921123623847,0.9301,0.7728
20,0.06761356649696826,0.95306,0.7832
21,0.05661865812242032,0.9608,0.7791
22,0.044384221763908854,0.97856,0.7806
23,0.032011186304688466,0.98106,0.7783
24,0.029745537072420135,0.98876,0.7831
25,0.008643760419636964,0.99504,0.7813
26,0.003952830953057855,0.99832,0.7856
27,0.0014576226594857863,0.99862,0.785
28,0.0010053156863665204,0.99932,0.7869
29,0.0004456184968352316,0.9997,0.7884
30,0.03857656128318048,0.99376,0.7832
