epoch,train_loss,train_accuracy,test_accuracy
1,0.4349649980545043,0.32912,0.3424
2,0.36961595945358283,0.40802,0.4159
3,0.34022248358726503,0.44666,0.4561
4,0.3162810508728027,0.51882,0.5274
5,0.29504531693458563,0.57448,0.5722
6,0.27164650807380675,0.62212,0.6168
7,0.24985257432460797,0.66482,0.6488
8,0.22710856108665464,0.70588,0.681
9,0.20518146803379067,0.73782,0.7004
10,0.1838413782835006,0.77994,0.7277
11,0.16975934023857117,0.80966,0.7444
12,0.15003419399261475,0.84222,0.7508
13,0.13552918998003005,0.85932,0.7514
14,0.11881682329177859,0.887,0.7571
15,0.10203535566926,0.91522,0.7695
16,0.08962037303447723,0.92342,0.7646
17,0.07500384860038754,0.95084,0.7594
18,0.05740449250042438,0.96006,0.7651
19,0.046817011414468285,0.98054,0.7738
20,0.025131825667619706,0.99084,0.7745
21,0.01374519967772067,0.99674,0.7776
22,0.004516683947108682,0.9986,0.7794
23,0.00145928305927664,0.99936,0.7787
24,0.0016492393014486875,0.99962,0.7789
25,0.0006514387585688381,0.99982,0.7799
26,0.0004470789457671345,0.9999,0.7798
27,0.0003521345881745218,0.99996,0.7792
28,0.000294826643471606,1.0,0.78
29,0.0002572959729004652,1.0,0.7809
30,0.00022961450237780806,1.0,0.7805
31,0.00020787177996244287,1.0,0.7808
