epoch,train_loss,train_accuracy,test_accuracy
1,0.4498523018360139,0.29128,0.2969
2,0.3846719880580901,0.37054,0.3831
3,0.3597850856781005,0.41134,0.4175
4,0.3371117934226989,0.4592,0.4593
5,0.3232281068325044,0.49454,0.489
6,0.3030022340774535,0.55514,0.5457
7,0.2866174098014832,0.59264,0.5841
8,0.2648724541187287,0.63772,0.6237
9,0.24141656103134151,0.67784,0.6571
10,0.22417184960842124,0.71232,0.6853
11,0.20327806270122525,0.74694,0.7052
12,0.18653976645469666,0.7827,0.7366
13,0.16757407220602033,0.80994,0.7509
14,0.15570080064535136,0.8377,0.7589
15,0.13901864726543434,0.86142,0.7662
16,0.12374174983501433,0.8804,0.7669
17,0.11240212835669516,0.90854,0.7766
18,0.09524197825193406,0.92368,0.7791
19,0.08507233803272243,0.9464,0.7849
20,0.06719057121276861,0.96134,0.7819
21,0.06128077704608442,0.96964,0.78
22,0.04878139407485722,0.97832,0.7842
23,0.036195768955349907,0.9889,0.7833
24,0.021662005885317928,0.99428,0.7875
25,0.008346117019001394,0.99668,0.7888
26,0.03695691704843192,0.9942,0.785
27,0.00427100276183337,0.99852,0.7877
28,0.0012459936626488342,0.99902,0.7886
29,0.0007575446480768733,0.99924,0.7872
30,0.05008902398910141,0.99224,0.7808
31,0.021679255081899475,0.9981,0.7852
32,0.0016259536396246402,0.99918,0.7899
33,0.0007329702527378687,0.99936,0.7875
34,0.00038101215006317935,0.99946,0.7853
