epoch,train_loss,train_accuracy,test_accuracy
1,0.4329731576442718,0.33446,0.3473
2,0.3686089857578275,0.40176,0.4107
3,0.3441884010791779,0.45632,0.4572
4,0.3219240200042725,0.50702,0.4971
5,0.29894622468948373,0.56544,0.5537
6,0.27494195561408985,0.61106,0.5973
7,0.2578838686943056,0.65782,0.6412
8,0.22728568232059487,0.70504,0.6749
9,0.20339477615356447,0.7469,0.6989
10,0.18213543870449064,0.78002,0.718
11,0.1627922918319702,0.79542,0.7233
12,0.148526838183403,0.85802,0.7515
13,0.13226400939226152,0.88764,0.7557
14,0.09675336612463002,0.91976,0.7591
15,0.08421613275408743,0.93682,0.7576
16,0.08580203329920769,0.93112,0.7615
17,0.039666870415210706,0.9803,0.7708
18,0.018623487634211768,0.99122,0.7751
19,0.008355469626188276,0.99508,0.7701
20,0.0036407303598709403,0.99922,0.7768
21,0.0014215832563117155,0.99954,0.7768
22,0.0010516246101353317,0.99994,0.7786
23,0.0004850361235439776,1.0,0.7788
24,0.00038034578091464955,1.0,0.778
25,0.00032196235232986506,1.0,0.7784
26,0.00028089378948789086,1.0,0.7786
27,0.00024982950608246036,1.0,0.7784
28,0.00022531236682552837,1.0,0.7784
29,0.00020536438140552493,1.0,0.7778
30,0.00018876216684002433,1.0,0.778
31,0.00017471563045401122,1.0,0.7775
32,0.00016264859773218633,1.0,0.7776
33,0.0001521658965852112,1.0,0.7776
34,0.00014296552398009222,1.0,0.7779
