epoch,train_loss,train_accuracy,test_accuracy
1,0.4069824764396571,0.34284,0.3503
2,0.35283194330674184,0.40488,0.4229
3,0.3225508275213121,0.4793,0.4827
4,0.29948956036869495,0.53038,0.5216
5,0.280558163244513,0.57194,0.5593
6,0.26410565279707127,0.5975,0.5837
7,0.2499502494968945,0.63278,0.611
8,0.2299137354802482,0.66116,0.6308
9,0.2169391750987572,0.68348,0.6478
10,0.2082919145837614,0.71072,0.6618
11,0.193531962768941,0.73278,0.68
12,0.1805275121821632,0.7619,0.6987
13,0.16710454891754106,0.7856,0.7073
14,0.15458960217765616,0.80856,0.7149
15,0.1426478189531761,0.83628,0.7246
16,0.13362695649077627,0.85772,0.7269
17,0.11717104213147225,0.88466,0.7337
18,0.10714734234575984,0.90426,0.732
19,0.09500511050035686,0.92008,0.7268
20,0.07967887114120435,0.93636,0.7264
21,0.06599283223665213,0.95182,0.7142
22,0.05541984302050705,0.9694,0.7299
23,0.03004994464543046,0.98716,0.7244
24,0.015695419114884694,0.99582,0.7288
25,0.007203267840314886,0.99894,0.7259
26,0.003829006868992235,0.99982,0.7306
27,0.002603913521559178,0.99996,0.7297
28,0.0020401889124673,0.99998,0.7299
29,0.001690750894301771,0.99998,0.73
30,0.0014480988233927868,0.99998,0.7295
31,0.0012674095890708738,0.99998,0.7291
32,0.001126932595160943,0.99998,0.7285
33,0.0010143890242457763,0.99998,0.7286
34,0.0009220841411454013,0.99998,0.7288
35,0.0008448371106074956,0.99998,0.7281
36,0.0007794177187370913,0.99998,0.7277
37,0.0007231170711803098,1.0,0.7279
38,0.0006743078560073259,1.0,0.7275
39,0.0006315048657581681,1.0,0.7271
40,0.0005937498346666653,1.0,0.727
41,0.0005601362829226294,1.0,0.7273
42,0.0005300261475192974,1.0,0.7273
43,0.0005028818176964981,1.0,0.727
44,0.0004783395307633695,1.0,0.7267
45,0.0004560063828572726,1.0,0.7268
46,0.0004356249147153729,1.0,0.726
47,0.0004169318542367768,1.0,0.7262
48,0.0003997347586422781,1.0,0.7263
49,0.00038387695154988615,1.0,0.7263
50,0.0003691761265656193,1.0,0.7266
