epoch,train_loss,train_accuracy,test_accuracy
1,0.39848296966552726,0.3672,0.3651
2,0.34245488629341125,0.45208,0.4537
3,0.3111159866809844,0.50946,0.4944
4,0.28480913763046256,0.55584,0.5401
5,0.262624084353447,0.57956,0.5564
6,0.24550490489006038,0.64376,0.6215
7,0.2262577291011812,0.67942,0.647
8,0.2081569531440736,0.7035,0.662
9,0.1933961231946946,0.74146,0.6929
10,0.1778111896514893,0.7724,0.7058
11,0.16484887928962705,0.7939,0.7179
12,0.1487515238404274,0.82098,0.7234
13,0.1341462764024735,0.849,0.7297
14,0.12320536456108096,0.881,0.7342
15,0.10657288751602174,0.89812,0.7369
16,0.09006716260910035,0.91908,0.7318
17,0.07662605187296866,0.9481,0.7383
18,0.06275402752459053,0.9544,0.7305
19,0.049812795355916,0.98048,0.7383
20,0.09023406566828487,0.73954,0.6213
21,0.05505925024449828,0.99142,0.7317
22,0.0115328825481236,0.99858,0.7326
23,0.004755434397980572,0.99972,0.7316
24,0.0027842995069921016,0.9999,0.7348
25,0.0020394773274660114,0.99994,0.7341
26,0.0016325649118050939,0.99996,0.7341
27,0.0013650487519800665,0.99996,0.7347
28,0.0011712863195687535,0.99998,0.7353
29,0.0010263035310432314,0.99998,0.7344
30,0.0009132757043465972,1.0,0.7343
31,0.0008224247030913831,1.0,0.7338
32,0.0007478330159559844,1.0,0.7341
33,0.0006854520226828757,1.0,0.7338
